,Airport,FAA REGION,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,Arrival Percentage,Departure Percentage,No Diversion Percentage,Overall Chance of No Problems
165,TUS,AWP,103.0,80.0,50.0,22.0,7498.0,7501.0,0.7757,0.7586,0.7124,14.09,9.98,2.31,15.58,2.37,0.89,3.48,15.24,0.989334755366,0.986263003468,0.990399359957,0.988665706264
166,TUS,AWP,126.0,101.0,36.0,26.0,29803.0,29761.0,0.7868,0.7666,0.7493,11.53,9.87,2.15,12.89,2.42,0.79,2.38,12.86,0.996606296831,0.995772237694,0.997918205628,0.996765580051
167,TUS,AWP,206.0,174.0,63.0,46.0,29332.0,30490.0,0.8098,0.7793,0.7422,10.49,10.58,2.56,12.32,2.11,1.42,3.3,13.69,0.994293210889,0.992976953498,0.996355855705,0.994542006697
168,TUS,AWP,281.0,237.0,65.0,22.0,32136.0,32102.0,0.8152,0.7827,0.7412,10.62,11.1,2.82,12.41,2.26,1.08,3.3,13.94,0.992617282412,0.991255912372,0.997291322893,0.993721505893
169,TUS,AWP,206.0,174.0,59.0,16.0,30267.0,30337.0,0.8354,0.8086,0.7703,9.51,10.94,2.42,11.01,1.63,0.85,2.93,12.59,0.994264429574,0.993193907556,0.997524915847,0.994994417659
170,TUS,AWP,117.0,100.0,38.0,28.0,24475.0,24528.0,0.8507,0.8278,0.7965,8.41,10.7,2.17,9.71,1.82,0.79,2.67,10.73,0.995923026745,0.995219611849,0.99730628737,0.996149641988
171,TUS,AWP,144.0,110.0,42.0,35.0,24995.0,25088.0,0.8502,0.8293,0.7926,8.27,10.48,2.01,9.38,1.64,0.76,2.33,11.04,0.995615433673,0.99423884777,0.996925104327,0.99559312859
172,TUS,AWP,204.0,183.0,43.0,28.0,25149.0,25165.0,0.8458,0.8216,0.7795,8.76,11.06,2.58,10.17,1.47,0.8,2.57,11.77,0.992727995231,0.991888345461,0.997177723894,0.993931354862
173,TUS,AWP,117.0,107.0,38.0,29.0,23583.0,23679.0,0.8599,0.8336,0.7965,8.1,11.19,2.59,9.48,1.56,0.74,2.29,10.64,0.995481228092,0.995038799135,0.99716474123,0.995894922819
174,TUS,AWP,175.0,153.0,62.0,18.0,22502.0,22090.0,0.8145,0.7914,0.7628,10.55,11.43,2.43,11.96,1.67,0.7,2.48,12.76,0.993073789045,0.992222913519,0.996411912451,0.993902871671
