,city,company,salary,summary,title,parsed_salary
2973,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2974,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
2976,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
2977,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
2978,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2979,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2980,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
2982,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
2983,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
2984,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2985,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2986,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
2988,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2989,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
2991,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2992,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
2994,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
2995,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
2996,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
2997,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
2998,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
2999,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3000,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3001,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3002,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3003,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3004,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3005,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3006,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3007,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3008,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3009,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3010,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3011,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3012,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
