title,location,summary_review,review_score,movie_score,genre
Gunday,dhaka,( gunday ) manipulate the 1971 war history of bangladesh ,1,2,Action
Gunday,Dhaka,it ' about present wrong history ,1,2,Action
Gunday,malaysia,why u do not watch it .. ,1,2,Action
Gunday,Dhaka,bad and fake storyline ,1,2,Action
Gunday,Bangladesh,this movie will show an awful lie about the history ,1,2,Action
Gunday,BANGLADESH,gunday suck and humiliate bangladesh with wrong history ,1,2,Action
Gunday,Bangladesh,protest against the movie plot ,1,2,Action
Gunday,Bangladesh,a so call hindi movie and manipulation of the birth - history of an independent country ,1,2,Action
Gunday,Bangladesh,bangladesh liberation war history manipulation ,1,2,Action
Gunday,Australia,its not good to play irreverently with history ,1,2,Action
Gunday,bangladesh,manipulate bangladesh 's liberation war history ,2,2,Action
Gunday,Bangladesh,stupid movie director be an as.h ... l ... ,1,2,Action
Gunday,UNKNOWN,the movie be not acceptable ,1,2,Action
Gunday,USA,bullshit story ,1,2,Action
Gunday,South Korea,unexpected ,1,2,Action
Gunday,United States,a complete bull - crap ,1,2,Action
Gunday,United States,poor scripting and make ,1,2,Action
Gunday,United States,bullshit and poor historical misrepresentation ,1,2,Action
Gunday,Germany,hypocrisy distortion and dishonor the true story of bangladesh liberation war ,1,2,Action
Gunday,United States,bad movie ever ,1,2,Action
Gunday,United States,manipulation of history ,1,2,Action
Gunday,Dhaka,distortion of our liberation war history be the only thing about ' gunday ' ,1,2,Action
Gunday,Dhaka,india should be ashamed and be sorry to bangladesh ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,protest ,1,2,Action
Gunday,Bangladesh,bangladesh war 1971 ,1,2,Action
Gunday,UNKNOWN,the maker be just non - sense ... ,1,2,Action
Gunday,"Dhaka, Bangladesh",bad one ,1,2,Action
Gunday,proudly Bangladesh,waste of time movie ,1,2,Action
Gunday,Bangladesg,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,completely fake and ridiculous third grade history ,1,2,Action
Gunday,"Dhaka, Bangladesh",gunday ,1,2,Action
Gunday,UNKNOWN,protest about humilating the history ,1,2,Action
Gunday,Bangladesh,history violation ,1,2,Action
Gunday,UNKNOWN,nonsense creation ,1,2,Action
Gunday,Bangladesh,attack history of bangladesh ,1,2,Action
Gunday,Bangladesh,traditionally fake & offensive ,1,2,Action
Gunday,"Dhaka, Bangladesh",historically fraudulent laughable ... & offensive ( most importantly ) ,1,2,Action
Gunday,Bangladesh,misrepresentation of history ,1,2,Action
Gunday,"dhaka, bangladesh",hat this movie as a bangladeshi ,2,2,Action
Gunday,Bangladesh,bangladesh condemn gunday protest over misrepresentation of liberation war history ,1,2,Action
Gunday,"Dhaka, Bangladesh",total manipulation of liberation war history of bangladesh ,1,2,Action
Gunday,"London, England",another stupid indian garbage ,1,2,Action
Gunday,Bangladesh,go home yash raj you be drunk ,1,2,Action
Gunday,France,fail to enjoy ,1,2,Action
Gunday,"Dhaka, Bangladesh",history have be rap by ' gunday ' ,1,2,Action
Gunday,"Florida, USA",very bad movie ... ,1,2,Action
Gunday,"London, UK",this movie be very disrespectful to a great history of liberation war of an independent country ,1,2,Action
Gunday,Canada,shame yash raj production ,1,2,Action
Gunday,Bangladesh,hate the movie ,1,2,Action
Gunday,Greater Noida,i protest against the movie and its producer ,1,2,Action
Gunday,Bangladesh,give wrong message to viewer about the history of bangladesh ,1,2,Action
Gunday,Bangladesh,"actually,they lack knowledge of history ",1,2,Action
Gunday,UNKNOWN,historically inappropriate ,1,2,Action
Gunday,Bangladesh,protest ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,London,i be strongly protest about intro of that movie ,1,2,Action
Gunday,"Dhaka, Bangladesh",the script and storyline of gunday should be change as it represent a distorted history ,1,2,Action
Gunday,"Dhaka, Bangladesh",bad film a must ignore movie ,1,2,Action
Gunday,"Dhaka, Bangladesh",yash raj film make a garbage ,1,2,Action
Gunday,"Dhaka, Bangladesh",total crap ,1,2,Action
Gunday,Bangladesh,what more can you expect from indian ,1,2,Action
Gunday,Bangladesh,"a few word about the film "" gundey(2014 ) "" ",1,2,Action
Gunday,Bangladesh,its bangladesh- pakistan not india - pakistan ,1,2,Action
Gunday,Bangladesh,corrupt the true history of bangladesh liberation war(1971 ) ,1,2,Action
Gunday,United Kingdom,disgrace to movie industry ,1,2,Action
Gunday,UNKNOWN,i protest as bangladeshi ,1,2,Action
Gunday,UNKNOWN,it ' manipulating bangladesh 's liberation war history ,1,2,Action
Gunday,UNKNOWN,stupid story - writer ,1,2,Action
Gunday,Bangladesh,go home yrf you be drunk ,1,2,Action
Gunday,Bangladesh,yash raj film apologize you guysssssssssss ,1,2,Action
Gunday,Bangladesh,this movie contain historically inappropriate content ,1,2,Action
Gunday,Bangladesh,protest against misguide history :( ,1,2,Action
Gunday,"dhaka, bangladesh",gunday be insult our history ,1,2,Action
Gunday,Dhaka,bad movie of all ,2,2,Action
Gunday,chittagong,fake movie ,1,2,Action
Gunday,UNKNOWN,attention manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,"Dhaka, Bangladesh",totally misrepresentation of the liberation war of bangladesh this movie should be abandon very very unfortunate for the movie industry ,1,2,Action
Gunday,Bangladesh,nobody have any right to change the history of bangladesh ,1,2,Action
Gunday,UNKNOWN,its a national shame ,1,2,Action
Gunday,USA,laughable inaccurate and stupid movie ,2,2,Action
Gunday,"Dhaka, Bangladesh",bad movie ,1,2,Action
Gunday,"Dhaka, Bangladesh",gunday - humiliated the bangladeshi ,1,2,Action
Gunday,Bangladesh,gunday be a movie that contain error history ,1,2,Action
Gunday,Bangladesh,this movie have a wrong representation of history and should be ban ,1,2,Action
Gunday,"New York, USA",a total distortion of history and an extremely offensive story line to the people of bangladesh ,1,2,Action
Gunday,"Khulna, Bangladesh",the story of the movie be a massive distortion of actual history and a sign of disrespect to the spirit of a nation ,1,2,Action
Gunday,United Kingdom,stupid film ,1,2,Action
Gunday,Dhaka,strongly protest ,1,2,Action
Gunday,Bangladesh,historically fraudulent laughable ... & offensive ( most importantly ) ,1,2,Action
Gunday,UNKNOWN,bad movie ever ,1,2,Action
Gunday,Bangladesh,wrong information contains..full of crap ,2,2,Action
Gunday,germany,fake history write and violate liberation war history of bangladesh ,1,2,Action
Gunday,Bangladesh,strong protest against ' gunday ' for change the history ,1,2,Action
Gunday,Dhaka,indian movie suck .... >:(   >:( ,1,2,Action
Gunday,Bangladesh,even dumbness should have some level ,1,2,Action
Gunday,Bangladesh,what the hell ,1,2,Action
Gunday,New York,historically fraudulent laughable ... & offensive ,2,2,Action
Gunday,"rangpur, bangladesh",this movie against   all bangladeshi people ,1,2,Action
Gunday,bangladesh,disgusting rubbish completely waste of time and this film be a manipulation of war history of bangladesh ,1,2,Action
Gunday,Berlin,incorrect historical fact and same crap story ,1,2,Action
Gunday,Bangladesh,condemn ,2,2,Action
Gunday,Bangladesh,bastard indian once again try to hijack   the credit of bangladeshi freedom fighter ,1,2,Action
Gunday,Australia,wrong information ,2,2,Action
Gunday,UNKNOWN,poor scriptwriting a storyline far from actual fact deform history ,1,2,Action
Gunday,Bangladesh,"false history told,offensive and disrespectful portrayal of bangladeshi refugee weak script ",1,2,Action
Gunday,"Dhaka, Bangladesh",unauthentic history ,1,2,Action
Gunday,Bangladesh,humiliation of liberation of bangladesh ,2,2,Action
Gunday,Bangladesh,twist history to make money ,1,2,Action
Gunday,Bangladesh,how on earth the story writer write such bogus thing ,1,2,Action
Gunday,Bangladesh,manipulationof   of the libaration war of bangladesh in 1971 ,1,2,Action
Gunday,South Korea,u just can not change the history a bullshit movie ever .... ,1,2,Action
Gunday,"Khulna, Bangladesh",manipulate the liberation war history of bangladesh ,1,2,Action
Gunday,"Sylhet, Bangladesh",bangladesh condemn gunday ,2,2,Action
Gunday,Bangladesh,mislead fact ,1,2,Action
Gunday,Dhaka,disrespect history of bangladesh ,1,2,Action
Gunday,USA,wrong history humiliating people ' self respect ,1,2,Action
Gunday,"dhaka, bangladesh",the movie be base on a false story and be distort the history of bangladesh and be totally misleading ,1,2,Action
Gunday,UNKNOWN,bangladesh - india relationship ,1,2,Action
Gunday,UNKNOWN,worst movie i have ever see ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,UNKNOWN,pack of lie movie ,1,2,Action
Gunday,UNKNOWN,those who do not have any historical knowledge should stay out of it ,2,2,Action
Gunday,Dhaka,distortion of history ,1,2,Action
Gunday,sydney australia,manipulate bangladesh liberation war history ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war 1971 history ,1,2,Action
Gunday,dhaka,rubbish ,1,2,Action
Gunday,"Narayanganj, Bangladesh",protest against history manipulation ,1,2,Action
Gunday,"Dhaka, Bangladesh",wrong history telecast ,1,2,Action
Gunday,Bangladesh,insulting and aggravate to an entire nation ,1,2,Action
Gunday,Bangladesh,about gunday ,1,2,Action
Gunday,"Auckland, New Zealand",i just waste my money watch something that i will regret so bad ,1,2,Action
Gunday,Bangladesh,bollywood mean fake .. ,1,2,Action
Gunday,UNKNOWN,wrong history ,1,2,Action
Gunday,Bangladesh,represent fake history in that movie ,1,2,Action
Gunday,thailand,do not expect such big banner film to distort history ,1,2,Action
Gunday,"Kansas, USA",shameless distortion of the history of bangladeshi struggle for independence from pakistan ,1,2,Action
Gunday,bangladesh,this movie play with the history everyone should boycott it ,1,2,Action
Gunday,Dhaka,idiotic story ,1,2,Action
Gunday,UNKNOWN,on your face bastard ,1,2,Action
Gunday,Dhaka,who do you think you be ,1,2,Action
Gunday,"dhaka, bangladesh",gunday : manipulating bangladesh 's liberation war history of 1971 ,1,2,Action
Gunday,UNKNOWN,bad script writing and distorted history ,1,2,Action
Gunday,London,wrong information show ,1,2,Action
Gunday,UNKNOWN,one of the bad in recent bollywood cinema lineup ,1,2,Action
Gunday,Bangladesh,bulshit ,1,2,Action
Gunday,Bangladesh,a movie that lie ,1,2,Action
Gunday,"Dhaka, Bangladesh",bangladesh be never bear from the war between india and pakistan 1971 ,1,2,Action
Gunday,United Kingdom,india be play dirty game with bangladesh ,1,2,Action
Gunday,"Dhaka, Bangladesh",this be the most bad movie ,2,2,Action
Gunday,"Dhanmondi, Dhaka",infiltration of our history of   war in 1971 ,1,2,Action
Gunday,Bangladesh,history have be neglect ,1,2,Action
Gunday,UNKNOWN,distortion of historical fact ,1,2,Action
Gunday,Milan,fake and history misguide movie plot ,1,2,Action
Gunday,"Dhaka, Bangladesh",rubbish movie and misrepresention of the liberation war of bangladesh ,1,2,Action
Gunday,"Dhaka, Bangladesh",fraudulent history ,2,2,Action
Gunday,"Noakhali, Bangladesh",insult of whole martyr ,1,2,Action
Gunday,Malaysia,protest ,1,2,Action
Gunday,Dhaka,its an insult to bangladesh liberation war history ,1,2,Action
Gunday,germany,this movie be a disgrace ,1,2,Action
Gunday,"Dhaka, Bangladesh",history be present in wrong way in this movie ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,most cheap indian movie ,1,2,Action
Gunday,UNKNOWN,protest from bangladesh ,1,2,Action
Gunday,"Dhaka, Bangladesh",manipulate the history of bangladesh ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Dhaka,about the beginning of the movie ,1,2,Action
Gunday,"Dhaka, Bangladesh",this be really a wire movie which i cud not finish ... .... ,2,2,Action
Gunday,"Melbourne, Australia",depict a wrongful story background ,1,2,Action
Gunday,Bangladesh,worst movie ever ,1,2,Action
